Phase,Phi1,Phi,Phi2
1,97.89607782,122.7001578,13.43900902
1,72.66216407,123.4103752,39.59558165
1,69.96498547,122.5791657,39.13709096
1,68.81183468,122.2557382,39.31472601
1,71.40128431,124.0943684,40.07092374
1,72.43704258,123.7172529,40.04763552
1,73.43894245,125.0230287,41.04507895
1,72.20703734,124.0533351,39.15428863
1,70.89408509,124.1789446,39.96179118
1,69.52515255,124.1615678,39.91530935
1,68.17331495,123.4249791,39.886003
1,67.39855552,124.882845,41.39906608
1,66.7955463,124.4769311,42.81431702
1,86.37752661,92.56502201,19.38224339
1,90.44421647,90.59080312,16.82232967
1,88.75087273,87.14496891,16.84982679
1,103.3417559,65.59832676,359.9093418
1,108.0423266,67.06728348,359.8407167
1,110.4380729,67.36689867,0.415013977
1,114.841238,67.44955606,1.353262267
1,115.6482502,67.24477552,1.896504204
1,117.5401584,66.69236838,2.269471517
1,118.442614,68.616019,1.858787349
1,117.2075841,68.71983522,2.145729835
1,116.5173818,68.57756672,3.206938232
1,117.7627974,68.38811088,2.756594319
1,116.1376526,70.06351844,3.141736557
1,116.06996,68.37523973,1.446189262
1,114.5792289,66.74625034,1.609242
1,115.230335,68.02525307,359.1639292
1,112.5940732,66.79061065,358.4427861
1,81.15940541,160.4321776,34.62964363
1,92.6685014,164.3628191,45.9949839
1,84.32586663,161.9729838,44.49669406
1,88.29597618,165.8238941,46.47445931
1,138.9957241,144.2653093,80.50233971
1,132.9831962,145.1595667,78.03765528
1,129.5640593,146.5051667,76.38338214
1,127.466901,149.5291531,76.63434033
1,123.2585254,150.2637685,71.61058145
1,122.8097101,148.7659756,71.20273178
1,75.41837857,47.98395385,11.60691498
1,74.43515237,48.78800246,11.06337755
1,74.89163752,49.16023763,11.84385629
1,76.12172019,49.27402205,12.00746853
1,80.72605103,49.60463372,10.93573127
1,81.50509709,49.08476417,11.28597478
1,81.56339939,48.90714622,11.2432345
1,78.2434967,48.60787064,11.1728484
1,76.84400967,47.96267041,10.99425681
1,74.07562379,47.59320918,10.77927322
1,91.97134388,141.1233815,10.54881468
1,93.25822425,140.6455111,10.80810239
1,99.14688802,140.2676169,10.62073953
1,99.02464046,140.1064546,10.44880951
1,101.0308402,141.3018802,10.76105547
1,98.04477397,141.6490409,10.67131279
1,95.15285699,141.8424428,9.794210694
1,94.61587825,142.3151819,10.1395942
1,97.95780828,142.1013323,10.22668309
1,100.1919897,141.1875866,10.60696955
1,99.71072128,141.2372107,10.68459066
1,96.58260904,140.8040389,11.14103127
1,92.40754282,140.7672008,11.12328882
1,86.60170878,141.6932502,9.417829607
1,84.93361447,142.4719034,8.499108341
1,84.23094163,142.9748353,7.216069389
1,88.16858891,143.3565739,8.607836073
1,90.66043741,143.1075182,8.525856979
1,94.82617945,143.0495974,8.983289489
1,97.8473597,142.7307447,8.947736484
1,99.33804841,139.9691196,11.16932835
1,96.13606924,89.41672485,13.55589566
1,94.77669653,91.47816414,11.19939584
1,93.3203156,91.89616666,11.20859046
1,92.70636007,98.21401453,13.70636909
1,91.51313299,103.8686537,14.63975496
1,95.70711237,98.71529224,12.02024884
1,94.61936876,96.48974243,7.827631719
1,90.73757153,91.80685163,7.206076925
1,92.09405746,93.96848218,8.465513051
1,89.99730294,89.5132015,7.7683785
1,89.50907659,95.20758251,6.452618752
1,84.79460136,90.70977481,6.560717427
1,7.335071904,37.31874031,48.31334212
1,123.7557733,39.32220868,27.54438984
1,127.1070262,36.71686652,23.72991398
1,125.898299,37.1939949,24.67377225
1,125.7138067,39.06359606,23.82557071
1,124.7571207,37.51445671,23.86406109
1,125.7381697,38.25014699,24.29028558
1,123.7470102,45.34935259,29.61448327
