Phase,Phi1,Phi,Phi2
1,76.36697451,124.5840011,13.60277903
1,69.72398656,129.4348371,43.45180689
1,72.51348549,127.9693357,44.21187373
1,72.08068752,127.3328972,45.19350489
1,71.86078216,127.6321515,45.50098606
1,72.44344116,127.2088294,44.67986326
1,74.14884575,126.8033277,45.75105172
1,74.66560886,125.4405184,44.7866
1,75.87664751,125.1335244,46.36132065
1,75.87494093,125.6525139,45.38822846
1,76.90129868,124.5389048,45.14435383
1,79.11260386,125.7713174,46.39663663
1,79.33275273,125.9689933,46.65342601
1,96.54415991,88.28481678,18.31757589
1,93.93034986,86.80592663,20.32401117
1,93.57219599,88.02265932,19.21586432
1,105.4732448,69.87497682,0.696477573
1,104.9576807,69.77392902,0.64678638
1,105.2926361,70.1579369,0.686494278
1,104.8016591,69.42675094,0.671457424
1,105.3981409,69.54064788,0.696481226
1,104.9139824,69.43133239,0.687975363
1,105.0127114,69.99856577,0.939317876
1,104.8671164,70.21594336,0.896494949
1,104.3712565,69.8208643,0.563230441
1,104.2485132,69.87426831,0.684463199
1,104.6822077,69.31489523,0.980164492
1,103.3806744,69.42753391,0.799486846
1,103.0985678,68.81785094,0.874770251
1,103.4930046,70.56132214,0.702092158
1,101.7490005,69.74831768,1.014879684
1,86.41994773,155.556499,40.25331564
1,80.93255805,157.3673508,38.36158806
1,75.48643303,158.2470522,35.90283402
1,70.57086802,158.4120369,33.35212231
1,100.8246239,152.215118,55.1969362
1,103.9567047,152.7209417,56.32820464
1,108.6329011,153.2102762,57.65692742
1,113.6109091,153.7003461,59.63581245
1,116.3982704,153.5506129,60.33615064
1,118.7690762,153.6342568,60.17954844
1,86.78335728,46.97151261,7.280931909
1,87.4364633,48.47298288,6.318428249
1,87.61545174,49.88838422,6.981200042
1,85.25600626,48.23622146,7.11661508
1,85.21108952,48.70152582,6.682602004
1,85.31732411,48.97755214,7.167169624
1,84.95031359,48.31814177,7.186574947
1,85.53769391,48.01644778,7.178852086
1,87.02361507,47.72734713,7.230251963
1,88.63482963,47.16329581,7.215515959
1,85.94795833,144.1046179,5.777004028
1,84.90278685,144.0589003,5.94489561
1,85.82076972,143.8244795,5.627325729
1,84.65010444,143.9257777,5.101000033
1,88.1895065,144.229619,6.251929107
1,87.09608937,144.3017428,6.207253726
1,85.60238163,144.0335343,5.085205347
1,84.24906205,144.6122343,5.530064367
1,83.85287692,145.2306912,5.583783342
1,83.18699609,144.7771589,5.884611257
1,86.82594725,144.4503522,5.875850498
1,90.12023736,142.5889489,6.300431425
1,88.34496814,142.7432761,6.222151111
1,87.26895795,142.3576975,5.511766829
1,86.71147862,142.6501701,5.954242555
1,85.76057498,142.1615791,5.187720426
1,86.38846578,143.136246,6.068158154
1,86.01952182,143.0973845,6.05986762
1,84.65890293,143.392036,5.633762381
1,85.22332827,143.8223228,6.056943756
1,85.15051214,143.8368848,5.626333196
1,87.44325702,100.6878425,9.079380192
1,88.02577032,99.83380283,10.13148379
1,87.45237121,100.068159,10.20288805
1,89.06676395,100.7507768,8.73252208
1,87.94430941,101.1591725,8.380097127
1,85.55791177,99.84750757,10.03272242
1,84.81785722,98.96612816,11.23854421
1,84.18129616,98.0214845,12.12600445
1,83.92578184,98.14849502,12.1729751
1,83.21643597,97.62800775,11.93688063
1,82.80374958,97.43993702,11.66748721
1,81.505362,98.13040705,12.77626434
1,10.75619299,41.11122407,45.30544777
1,96.08771954,39.30741674,35.56284475
1,94.35782248,39.18836453,34.52174202
1,95.37472665,39.5670889,35.50335962
1,95.26969161,39.50403652,35.44174291
1,96.82962812,38.99791481,35.83182574
1,96.60545487,39.22686603,35.49867601
1,98.11613289,39.4994826,33.65160198
1,98.71349656,38.26700264,35.41570288
1,99.95246124,38.41205584,35.15363137
1,100.8266068,38.52754934,34.92725285
1,102.9344796,38.64563581,34.67982106
1,110.4049262,37.1228349,34.00912137
1,114.1748457,37.16988522,33.43470002
1,31.61776269,157.5264541,5.230120444
1,29.63727896,158.039503,4.775573298
1,35.76698173,158.1039428,8.276716505
1,36.40828233,158.6918149,8.732818528
1,38.1105031,158.4021301,9.761689216
1,32.83361109,159.7643468,7.414310399
1,32.84370695,160.2643234,7.038245974
1,31.26991012,160.7126268,5.934337262
1,34.20480063,160.4105343,8.344559357
1,99.26143035,92.28574969,41.56144915
1,101.8389607,92.47672857,39.04208901
1,102.624595,92.35349472,39.29704897
1,102.4297329,92.80357163,38.2033447
1,100.8344426,92.22296494,39.61342472
1,102.1488283,92.58121292,39.38328642
1,100.9601618,92.38228847,40.17421116
1,100.7824338,92.65587644,39.71630532
1,100.4012371,92.31113859,40.05422753
1,102.7430877,92.52116365,39.8997109
1,100.8691074,92.24351629,40.20182046
1,100.2418731,92.60181376,39.74032772
1,101.4660047,92.73258918,40.0949759
1,100.1198408,92.83411486,40.80748377
1,98.28824301,92.82463136,40.69821688
1,79.63202527,124.6063116,13.85466579
1,79.94888038,124.2670442,13.60686581
1,72.09344395,127.2045207,44.03469941
1,72.13549238,127.5473563,44.21198729
1,73.27627012,127.5857436,44.31885693
1,73.53544173,127.0434729,45.03368986
1,74.73453327,127.4407717,45.05103261
1,76.19302156,125.8088358,45.33461976
1,77.41545788,125.5230182,44.91614593
1,78.81886425,125.661386,45.17282972
1,78.37324569,125.0006756,44.48265819
1,80.27203447,125.3922287,46.11225668
1,79.01206667,125.9743533,44.76827835
1,82.26440297,124.7787875,45.7491569
1,106.209412,69.56402972,359.6955195
1,103.6584331,69.19674963,0.09931742
1,105.4817426,68.3477446,0.348806976
1,104.2378894,68.70626201,359.8676906
