Phase,Phi1,Phi,Phi2
1,084.61097,123.57210,012.43777
1,075.70205,127.17658,043.73444
1,075.56912,127.11183,044.04327
1,075.94670,126.74800,044.11947
1,076.28418,127.19950,044.16530
1,075.88941,126.84197,043.54479
1,076.16442,127.39487,044.09025
1,075.41672,126.75087,042.60399
1,076.07332,126.70676,043.57287
1,075.84700,127.02015,042.97413
1,075.83898,125.82211,042.73119
1,076.38100,127.40404,043.97337
1,076.03207,127.27627,043.79403
1,092.78192,087.94272,018.36158
1,092.78192,087.94272,018.36158
1,092.19807,088.25441,018.75978
1,104.64559,069.45108,001.27884
1,104.44218,069.56911,000.94996
1,104.74471,070.00799,000.86918
1,104.55391,069.44822,000.60275
1,104.78768,069.52155,000.59301
1,104.53156,069.49463,000.49389
1,105.08046,070.01315,000.58671
1,104.89654,070.10540,000.75000
1,104.42385,069.91918,000.61192
1,104.57339,070.01659,000.32429
1,104.82435,069.97762,000.61708
1,105.07415,069.86991,000.14897
1,104.70976,069.58056,000.36841
1,104.89196,070.06128,000.16157
1,103.88527,070.07102,000.35982
1,085.39077,159.77845,038.81560
1,085.97977,160.05576,039.09234
1,086.03190,159.92169,039.41950
1,085.72766,159.22211,039.24073
1,114.18992,151.53130,058.19017
1,114.60702,151.51239,058.28299
1,114.39733,151.63786,058.34658
1,114.56921,151.88252,058.59983
1,114.52968,151.72610,058.26981
1,114.03235,151.44707,057.35537
1,090.27981,046.49266,007.96354
1,090.59666,046.60038,007.14994
1,090.18986,046.55970,007.93718
1,090.20246,046.47490,008.03058
1,090.67057,046.71783,007.41694
1,090.17668,046.64908,007.76530
1,090.10621,046.53735,007.68164
1,090.21450,046.49782,007.66732
1,090.49754,046.61069,007.55961
1,090.50728,046.56714,007.33157
1,087.03688,143.91153,005.78114
1,086.87186,143.64911,006.00116
1,086.77274,143.44800,005.75364
1,086.14134,143.39358,005.27751
1,087.29527,143.88632,006.17018
1,086.82373,143.90006,006.00173
1,085.90184,143.91726,005.06323
1,086.66330,143.89892,005.50842
1,086.86327,144.27765,005.55597
1,087.27637,143.60213,006.10143
1,086.99734,144.01122,006.03496
1,087.31419,143.84907,006.14497
1,087.25517,143.87944,006.29967
1,087.10047,143.56317,005.96277
1,087.19616,143.53338,006.08023
1,086.31437,143.53968,005.01796
1,087.37033,143.66344,006.04757
1,087.16521,143.44628,006.05444
1,086.55960,143.55686,005.70952
1,087.30158,143.98544,006.13008
1,086.53095,143.63937,005.61900
1,089.94292,100.88411,008.98341
1,089.73665,100.31230,009.41140
1,089.86901,100.69332,009.69616
1,090.15605,100.31918,009.71736
1,089.94922,100.46700,009.32088
1,089.74009,100.40684,009.47328
1,089.92687,100.33465,009.81820
1,089.95151,100.02067,009.97634
1,090.14001,100.42116,009.75403
1,089.86671,100.16964,009.20170
1,090.03630,100.13412,009.58788
1,090.08902,100.19485,009.81649
1,013.93376,041.26958,043.09387
1,108.25292,039.67389,037.28580
1,107.41068,039.00353,036.22698
1,107.98535,039.34215,037.47717
1,108.04150,039.42522,037.25715
1,108.24204,039.24245,037.53561
1,107.52642,039.62748,037.46170
1,109.38624,039.71170,035.63797
1,108.64712,038.98290,037.38091
1,107.97733,039.41950,037.29268
1,108.17042,039.45158,037.11449
1,108.07016,039.76499,036.98042
1,108.09307,039.29803,037.25715
1,107.84097,039.38053,037.36258
1,036.40116,159.52807,006.65032
1,035.01517,159.60943,005.45971
1,035.22430,159.64610,005.71124
1,035.78866,159.96065,006.11289
1,036.07457,159.52520,006.55406
1,035.35608,159.58364,005.71525
1,034.98194,159.79965,005.30903
1,035.61735,159.53609,005.92152
1,035.27759,159.73033,005.77541
1,103.86751,092.24048,040.70292
1,103.57301,092.19292,040.26976
1,103.97580,092.02046,040.31331
1,103.74719,092.38257,039.66644
1,103.48306,091.99353,040.20903
1,103.92137,092.26569,040.48577
1,103.70593,092.15281,040.36717
1,103.81594,092.45018,040.20674
1,103.73458,092.14823,040.36488
1,103.83943,092.19636,040.16778
1,103.70937,092.05426,040.30300
1,103.86865,092.29835,040.32076
1,103.58962,092.19406,040.07038
1,103.94601,092.35220,040.48291
1,104.07034,092.53555,040.32935
1,085.68011,123.40595,012.79759
1,085.37702,123.21687,012.02925
1,075.83154,126.75546,042.93402
1,075.91576,127.32555,043.37405
1,075.90373,127.07230,043.82783
1,075.90488,126.97604,044.26156
1,075.82466,128.02856,043.55911
1,075.75992,127.31581,043.70121
1,075.52157,127.06715,043.42103
1,075.93352,127.32153,043.79116
1,075.48433,126.54346,042.91855
1,075.79086,127.28086,044.06905
1,075.35483,127.32899,043.13857
1,076.02004,127.09694,044.02780
1,104.70059,069.29122,000.03323
1,104.34134,069.19898,000.63025
1,104.46912,069.24997,000.87147
1,104.21300,069.50322,000.40680
1,104.84097,069.54848,000.75745
1,104.81633,069.34623,000.63312
1,104.63413,069.39665,000.72880
1,104.77507,069.51984,000.83365
1,104.90399,069.54906,000.58900
1,104.48974,069.72724,000.59530
1,104.57568,069.67740,000.25325
1,104.54417,069.61838,000.45779
1,104.83294,069.84012,000.47613
1,104.49948,069.96674,000.32945
1,104.13336,069.99654,000.52254
1,104.24280,069.71579,000.36497
1,086.28458,159.90507,039.60857
1,086.78763,159.88674,039.46132
1,086.02388,159.75038,039.01098
1,085.49848,159.51145,038.23118
1,114.20882,151.79027,058.39357
1,113.76535,151.62698,057.86816
1,112.64006,151.23507,056.88153
1,114.30451,151.68714,058.17241
1,114.22487,151.63614,058.30189
1,114.09996,151.70376,057.79024
1,115.98499,151.70147,058.64796
1,090.12340,046.68517,007.91656
1,090.23856,046.49896,007.78822
1,089.95609,046.57459,008.00938
1,090.31476,046.75622,007.61461
1,090.20991,046.61527,007.52007
1,090.52905,046.63934,007.28802
1,090.58004,046.96478,007.86556
1,090.38581,046.52876,007.64211
1,090.16751,046.73273,007.67993
1,090.56515,046.47089,007.38199
1,087.38409,144.46386,005.98111
1,087.01854,143.57062,005.69864
1,086.78477,143.59354,005.70781
1,087.12568,144.29598,005.72614
1,086.13847,143.73277,005.18699
1,087.10849,143.88517,005.75307
1,086.66044,143.82272,005.44997
1,086.67878,144.11149,005.35143
1,087.10792,143.75854,006.03955
1,087.34914,143.86340,005.96907
1,086.75612,144.02268,005.30502
1,086.84551,143.75797,005.85448
