Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,75.73284092,123.5115415,11.58118584,2.702261,204.6499024,333.7604215,31.29538683
1,76.31631336,129.44593,45.22850179,0,0,0,0
1,82.31989331,130.3801637,47.0899285,2.092123,172.2233422,272.7713393,98.51792248
1,85.06153887,131.467066,47.17931992,1.655313,140.8034711,217.6191435,78.09654159
1,87.31124083,133.1510312,47.80437786,2.104638,183.7585553,280.23472,100.6109102
1,86.48714734,132.8881901,47.08077696,1.238667,107.1287753,164.6042158,58.31740476
1,88.57365573,134.2415148,47.94622129,1.589133,140.7553193,213.3276212,76.19292248
1,87.26147941,133.3568438,46.06792979,1.314634,114.7169077,175.315441,60.56246682
1,87.77016175,133.0610372,46.94250394,0.8414168,73.85128864,111.9597922,39.49821145
1,87.13195907,132.9910172,46.00986904,1.047384,91.26061982,139.2926636,48.19000067
1,87.11310655,131.8893733,45.72125851,1.398395,121.8185326,184.4334402,63.9363793
1,86.9574367,132.9106278,46.59343725,1.026053,89.2229388,136.3733483,47.80733607
1,87.0291258,132.2422628,45.99160211,1.105557,96.21565923,146.2013593,50.84633765
1,99.07124414,85.15889532,15.51691327,1.043926,103.4230476,88.89958496,16.1985092
1,97.53245535,83.97724369,16.44766394,1.567903,152.9214293,131.6681723,25.78834163
1,97.51550562,86.50305274,17.12934728,1.719294,167.6578237,148.7241796,29.450384
1,108.1246221,69.99230714,1.349200932,3.151864,340.794104,220.6062331,4.252497846
1,105.5361755,71.16521585,0.581508693,2.321033,244.9529461,165.1768144,1.349700865
1,104.7694485,72.23442476,359.6075698,2.09091,219.0634875,151.0356811,751.9070638
1,102.9674927,70.90541804,358.2051772,1.660016,170.9276853,117.7041284,594.6263255
1,102.336596,71.74665246,358.470167,1.430919,146.4353796,102.6636482,512.9417728
1,102.866475,70.77862747,358.6238046,1.733233,178.291569,122.6758528,621.5786128
1,101.5934352,72.31798874,358.2831506,2.584566,262.5749385,186.9106149,926.0064494
1,98.4213131,72.63477183,357.8374682,2.690738,264.8259672,195.4411407,962.8468735
1,95.24681488,74.12464148,356.9473801,2.745759,261.5247992,203.5284015,980.0914815
1,94.37491509,73.89324365,356.6410373,2.568326,242.3855482,189.7819389,915.9704487
1,98.53948288,71.61573876,357.6586254,3.380313,333.094295,242.0836127,1208.998101
1,95.50449859,73.84212731,355.9503982,1.831535,174.9198318,135.2444406,651.9356126
1,94.97351035,73.71874191,356.1924169,1.72278,163.6184642,127.0011742,613.6411719
1,93.65161919,73.95813825,355.6901603,1.601571,149.9897174,118.4492094,569.6630457
1,90.70224456,74.28215685,354.8626497,2.443424,221.6240412,181.5028048,867.079915
1,83.41481735,157.9875625,36.68345067,3.052132,254.5930333,482.1988952,111.9627337
1,84.04269879,156.5740407,33.49761121,1.804027,151.6152978,282.4637969,60.43059505
