Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,084.61097,123.57210,012.43777,0.6807502,57.59893447,84.12172951,8.467012814
1,075.70205,127.17658,043.73444,0.4626438,35.02308246,58.83745565,20.23346859
1,075.56912,127.11183,044.04327,0.6365915,48.10666212,80.91830959,28.03756872
1,075.94670,126.74800,044.11947,0.5774972,43.85900884,73.19661396,25.47887059
1,076.28418,127.19950,044.16530,0.5533282,42.21018618,70.38307084,24.43790834
1,075.88941,126.84197,043.54479,0.5817001,44.14487472,73.78398533,25.33000979
1,076.16442,127.39487,044.09025,0.5462885,41.60774838,69.5943533,24.0859951
1,075.41672,126.75087,042.60399,0.9685233,73.04284602,122.7611677,41.26296163
1,076.07332,126.70676,043.57287,0.6959156,52.94061147,88.17720905,30.32303814
1,075.84700,127.02015,042.97413,0.6497542,49.28190915,82.53187837,27.92261897
1,075.83898,125.82211,042.73119,1.308654,99.24699102,164.6576091,55.92034718
1,076.38100,127.40404,043.97337,0.7740721,59.12440219,98.619911,34.03855558
1,076.03207,127.27627,043.79403,0.6315772,48.02012466,80.3847916,27.65931015
1,092.78192,087.94272,018.36158,0,0,0,0
1,092.78192,087.94272,018.36158,0.254114,23.57718433,22.34747691,4.665934226
1,092.19807,088.25441,018.75978,0.508228,46.85764249,44.85336282,9.534247459
1,104.64559,069.45108,001.27884,0.696924,72.93002165,48.40212299,0.89125556
1,104.44218,069.56911,000.94996,0.4102071,42.84292574,28.53774301,0.389682
1,104.74471,070.00799,000.86918,0.601923,63.04824859,42.13941996,0.523177597
1,104.55391,069.44822,000.60275,0.3215736,33.6217782,22.33271284,0.193829002
1,104.78768,069.52155,000.59301,0.2402349,25.17365692,16.70150303,0.142462016
1,104.53156,069.49463,000.49389,0.3513444,36.72657986,24.41654808,0.173525361
1,105.08046,070.01315,000.58671,0.5072365,53.30064431,35.51322404,0.297600102
1,104.89654,070.10540,000.75000,0.5220339,54.75955125,36.59739345,0.391526327
1,104.42385,069.91918,000.61192,0.3840131,40.10012734,26.84988293,0.23498489
1,104.57339,070.01659,000.32429,0.3621297,37.86913133,25.3550868,0.117436525
1,104.82435,069.97762,000.61708,0.3894232,40.82103285,27.25091026,0.240303524
1,105.07415,069.86991,000.14897,0.4699643,49.38110164,32.83636423,0.070010125
1,104.70976,069.58056,000.36841,0.4287918,44.89868537,29.83557553,0.157971987
1,104.89196,070.06128,000.16157,0.5079288,53.27764716,35.58614194,0.082068139
1,103.88527,070.07102,000.35982,0.5545411,57.60865282,38.8572605,0.199533585
1,085.39077,159.77845,038.81560,0.4122428,35.20172825,65.86751616,16.00145148
1,085.97977,160.05576,039.09234,0.3688347,31.7123215,59.03411712,14.41861091
1,086.03190,159.92169,039.41950,0.4662409,40.11159126,74.56203457,18.37898206
1,085.72766,159.22211,039.24073,0.6454931,55.33661594,102.7767702,25.32962337
1,114.18992,151.53130,058.19017,0.3377305,38.56541762,51.17674119,19.65259368
1,114.60702,151.51239,058.28299,0.4346911,49.81865271,65.86108855,25.33509605
1,114.39733,151.63786,058.34658,0.2767423,31.65857992,41.96461099,16.14696775
1,114.56921,151.88252,058.59983,0.4164475,47.71206135,63.25109592,24.40375411
1,114.52968,151.72610,058.26981,0.3774785,43.23249087,57.27333891,21.99559876
1,114.03235,151.44707,057.35537,0.6395841,72.93327855,96.86313703,36.6835802
1,090.27981,046.49266,007.96354,0.2813264,25.39809531,13.07961282,2.240354149
1,090.59666,046.60038,007.14994,0.4851098,43.94932786,22.6062991,3.468506064
1,090.18986,046.55970,007.93718,0.2060476,18.58340446,9.593513502,1.635437796
1,090.20246,046.47490,008.03058,0.3500423,31.5746776,16.26818041,2.81104134
1,090.67057,046.71783,007.41694,0.3486186,31.60944717,16.28670498,2.585682639
1,090.17668,046.64908,007.76530,0.2729076,24.60990104,12.73088811,2.119208488
1,090.10621,046.53735,007.68164,0.2794032,25.17596205,13.00268464,2.146276144
1,090.21450,046.49782,007.66732,0.2421513,21.84555791,11.25950692,1.856651762
1,090.49754,046.61069,007.55961,0.2396283,21.68577186,11.16924032,1.81149543
1,090.50728,046.56714,007.33157,0.1983995,17.95659923,9.238898039,1.454579375
1,087.03688,143.91153,005.78114,0.3481308,30.30021699,50.10003458,2.012594375
1,086.87186,143.64911,006.00116,0.3937818,34.20855654,56.56640505,2.363147594
1,086.77274,143.44800,005.75364,0.4603916,39.94943974,66.04225506,2.64892848
1,086.14134,143.39358,005.27751,0.5357316,46.14863885,76.82047142,2.827331171
1,087.29527,143.88632,006.17018,0.4581869,39.9975514,65.92682798,2.827096765
1,086.82373,143.90006,006.00173,0.4663265,40.48820721,67.10441351,2.798767097
1,085.90184,143.91726,005.06323,0.4997386,42.92846585,71.92101158,2.53029057
1,086.66330,143.89892,005.50842,0.2832282,24.54549183,40.7562313,1.560138772
1,086.86327,144.27765,005.55597,0.4601488,39.97002736,66.38918807,2.556573712
1,087.27637,143.60213,006.10143,0.4424261,38.61334354,63.53333114,2.699430827
1,086.99734,144.01122,006.03496,0.3442665,29.95027046,49.57823839,2.077636048
1,087.31419,143.84907,006.14497,0.2486542,21.71103949,35.76867554,1.52797315
1,087.25517,143.87944,006.29967,0.2942179,25.67203231,42.33190596,1.853475935
1,087.10047,143.56317,005.96277,0.2215339,19.29570705,31.80410948,1.32095609
1,087.19616,143.53338,006.08023,0.2908278,25.35906599,41.74349688,1.768299332
1,086.31437,143.53968,005.01796,0.4857781,41.92963113,69.72843136,2.437617277
1,087.37033,143.66344,006.04757,0.3104504,27.12415447,44.60037229,1.877470354
1,087.16521,143.44628,006.05444,0.3406569,29.69343174,48.86596526,2.062488426
1,086.55960,143.55686,005.70952,0.4121784,35.67799829,59.17103741,2.353342715
1,087.30158,143.98544,006.13008,0.4403822,38.4460615,63.40862574,2.699576166
1,086.53095,143.63937,005.61900,0.2904004,25.12862233,41.71293051,1.631759056
1,089.94292,100.88411,008.98341,0.6091707,54.79058897,61.45564625,5.472427388
1,089.73665,100.31230,009.41140,0.465566,41.77833361,46.70199816,4.38163006
1,089.86901,100.69332,009.69616,0.3935731,35.37002341,39.63018185,3.816149607
1,090.15605,100.31918,009.71736,0.3250758,29.30755068,32.61133837,3.15887985
1,089.94922,100.46700,009.32088,0.377334,33.940899,37.90961537,3.517083959
